# --------------------------------------------------------------------,,,,,,
# USE OF NOAA GML DATA,,,,,,
#,,,,,,
# These data are made freely available to the public and the scientific,,,,,,
# community in the belief that their wide dissemination will lead to,,,,,,
# greater understanding and new scientific insights. To ensure that GML,,,,,,
# receives fair credit for their work please include relevant citation,,,,,,
# text in publications. We encourage users to contact the data providers,,,,,,
# who can provide detailed information about the measurements and,,,,,,
# scientific insight.  In cases where the data are central to a,,,,,,
# publication, coauthorship for data providers may be appropriate.,,,,,
#,,,,,,
#,,,,,,
#,,,,,,
# Contact:  Xin Lan (xin.lan@noaa.gov),,,,,,
#,,,,,,
# File Creation: Sun Nov  5 04:05:14 2023,,,,,,
#,,,,,,
#,,,,,,
# --------------------------------------------------------------------,,,,,,
#,,,,,,
#,,,,,,
# See gml.noaa.gov/ccgg/trends/ for additional details.,,,,,,https://gml.noaa.gov/ccgg/trends_ch4/
#,,,,,,
#,,,,,,
# Uncertainties in the global monthly means are estimated using two,,,,,,
# terms: The first is a bootstrap (resampling) method that varies the,,,,,,
# sites in our network. Each pseudo-network contains the same number of,,,,,,
# sites as our actual NOAA ESRL cooperative global air sampling network,,,,,,
# but some are repeated and some are excluded. The second term is a,,,,,,
# Monte Carlo method that randomly modifies the data to account for,,,,,,
# measurement uncertainty. In both cases, 100 globally-averaged time,,,,,
# series are created. Standard deviations of the monthly means are,,,,,,
# calculated, and the two terms (network and analytical) are taken in,,,,,
# quadrature to give the  reported uncertainties. A default value (-9.9),,,,,,
# indicates the uncertainty has not yet been calculated for that month.,,,,,,
# Please see Dlugokencky et al.,1994, JGR, vol. 99, 17021-17043, for a,
# complete discussion.,,,,,,
#,,,,,,
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb,,,,
#,,,,,,
# NOTE: In general, the data presented for the last year are subject to change,,,,,
# depending on recalibration of the reference gas mixtures used, and other quality,,,,,
# control procedures. Occasionally, earlier years may also change for the same,,,,,
# reasons.  Usually these changes are minor.,,,,,,
year,month,decimal,average CH4 (ppb),average_unc,trend,trend_unc
1986,7,1986.542,1662.34,1.13,1670.68,0.78
1986,8,1986.625,1664.37,1.53,1671.78,0.8
1986,9,1986.708,1672.58,1.36,1672.87,0.81
1986,10,1986.792,1678.69,1.61,1673.96,0.81
1986,11,1986.875,1678.97,1.88,1675.06,0.8
1986,12,1986.958,1679.1,1.15,1676.15,0.79
1987,1,1987.042,1679.39,1.16,1677.25,0.76
1987,2,1987.125,1679.03,1.06,1678.29,0.73
1987,3,1987.208,1680.06,0.87,1679.32,0.7
1987,4,1987.292,1681.38,0.82,1680.36,0.66
1987,5,1987.375,1681.84,1.08,1681.38,0.62
1987,6,1987.458,1679.99,1.11,1682.38,0.57
1987,7,1987.542,1675.97,0.83,1683.34,0.53
1987,8,1987.625,1677.14,0.82,1684.28,0.49
1987,9,1987.708,1685.59,0.91,1685.18,0.46
1987,10,1987.792,1691.59,1.01,1686.05,0.44
1987,11,1987.875,1691.16,0.85,1686.9,0.43
1987,12,1987.958,1690.48,0.84,1687.72,0.43
1988,1,1988.042,1692.1,0.93,1688.56,0.46
1988,2,1988.125,1692.69,0.89,1689.33,0.48
1988,3,1988.208,1691.43,1.06,1690.11,0.51
1988,4,1988.292,1690.12,1.06,1690.94,0.54
1988,5,1988.375,1689.08,0.98,1691.77,0.58
1988,6,1988.458,1687.06,1.22,1692.62,0.61
1988,7,1988.542,1685.79,0.95,1693.5,0.63
1988,8,1988.625,1689.11,1.11,1694.42,0.65
1988,9,1988.708,1695.88,1.2,1695.35,0.66
1988,10,1988.792,1701.09,1.26,1696.31,0.66
1988,11,1988.875,1702.88,1.34,1697.3,0.66
1988,12,1988.958,1701.99,1.14,1698.3,0.65
1989,1,1989.042,1700.58,1,1699.33,0.64
1989,2,1989.125,1701.06,1.17,1700.32,0.63
1989,3,1989.208,1702.46,1.26,1701.31,0.62
1989,4,1989.292,1703.6,1.03,1702.33,0.6
1989,5,1989.375,1703.37,0.51,1703.34,0.59
1989,6,1989.458,1700.2,0.95,1704.32,0.57
1989,7,1989.542,1698.21,0.98,1705.28,0.56
1989,8,1989.625,1701.97,1.02,1706.23,0.55
1989,9,1989.708,1707.18,0.94,1707.13,0.55
1989,10,1989.792,1710.53,0.9,1708,0.55
1989,11,1989.875,1713.11,0.89,1708.83,0.56
1989,12,1989.958,1713.21,0.93,1709.62,0.57
1990,1,1990.042,1712.13,1.11,1710.4,0.59
1990,2,1990.125,1713.51,1.2,1711.1,0.61
1990,3,1990.208,1714.38,1.09,1711.78,0.63
1990,4,1990.292,1712.52,1.09,1712.45,0.65
1990,5,1990.375,1710.56,0.98,1713.12,0.66
1990,6,1990.458,1708.32,0.82,1713.77,0.68
1990,7,1990.542,1706.41,0.78,1714.42,0.69
1990,8,1990.625,1710.1,1.2,1715.11,0.7
1990,9,1990.708,1717.57,1.19,1715.81,0.7
1990,10,1990.792,1722.08,1.01,1716.55,0.7
1990,11,1990.875,1723.5,0.96,1717.35,0.7
1990,12,1990.958,1723.3,1.25,1718.21,0.7
1991,1,1991.042,1721.55,1.27,1719.16,0.7
1991,2,1991.125,1721.18,1.22,1720.15,0.7
1991,3,1991.208,1722.09,0.98,1721.2,0.7
1991,4,1991.292,1722.51,1.06,1722.37,0.7
1991,5,1991.375,1722.19,1.11,1723.6,0.7
1991,6,1991.458,1718.98,1.11,1724.88,0.7
1991,7,1991.542,1716.06,0.97,1726.19,0.7
1991,8,1991.625,1719.22,1.08,1727.52,0.7
1991,9,1991.708,1726.19,1.6,1728.81,0.7
1991,10,1991.792,1732.8,0.99,1730.05,0.69
1991,11,1991.875,1737.46,1.04,1731.2,0.68
1991,12,1991.958,1739.6,1.14,1732.25,0.67
1992,1,1992.042,1738.95,1.11,1733.2,0.65
1992,2,1992.125,1737.4,1.07,1733.95,0.63
1992,3,1992.208,1736.93,0.84,1734.56,0.61
1992,4,1992.292,1736.64,0.59,1735.04,0.59
1992,5,1992.375,1734.94,0.82,1735.37,0.58
1992,6,1992.458,1731.55,1.05,1735.56,0.56
1992,7,1992.542,1728.8,1.04,1735.63,0.55
1992,8,1992.625,1730.3,0.83,1735.61,0.54
1992,9,1992.708,1734.59,0.64,1735.53,0.53
1992,10,1992.792,1737.68,0.88,1735.41,0.52
1992,11,1992.875,1739.22,1.16,1735.28,0.51
1992,12,1992.958,1738.54,1.03,1735.17,0.51
1993,1,1993.042,1735.76,0.99,1735.1,0.49
1993,2,1993.125,1734.39,1.02,1735.09,0.48
1993,3,1993.208,1735.5,0.93,1735.15,0.47
1993,4,1993.292,1736.69,0.8,1735.29,0.47
1993,5,1993.375,1734.97,0.76,1735.51,0.47
1993,6,1993.458,1730.84,0.85,1735.8,0.48
1993,7,1993.542,1728.06,1.02,1736.16,0.49
1993,8,1993.625,1731.2,0.94,1736.6,0.51
1993,9,1993.708,1738.47,0.97,1737.07,0.54
1993,10,1993.792,1743.37,1.17,1737.59,0.57
1993,11,1993.875,1745.17,0.88,1738.13,0.59
1993,12,1993.958,1744.26,1.01,1738.7,0.61
1994,1,1994.042,1741.44,0.94,1739.28,0.62
1994,2,1994.125,1740.88,1.11,1739.85,0.63
1994,3,1994.208,1741.94,1.01,1740.43,0.62
1994,4,1994.292,1741.94,0.77,1741.03,0.62
1994,5,1994.375,1740.64,1.06,1741.64,0.6
1994,6,1994.458,1736.91,1.21,1742.25,0.59
1994,7,1994.542,1732.43,1.14,1742.87,0.57
1994,8,1994.625,1734.09,1.12,1743.51,0.55
1994,9,1994.708,1742.95,0.83,1744.13,0.53
1994,10,1994.792,1749.85,0.78,1744.75,0.52
1994,11,1994.875,1751.25,0.89,1745.36,0.52
1994,12,1994.958,1751.58,0.89,1745.96,0.51
1995,1,1995.042,1751.13,0.93,1746.53,0.51
1995,2,1995.125,1749.5,1,1747.05,0.51
1995,3,1995.208,1748.99,0.69,1747.52,0.51
1995,4,1995.292,1749.43,0.82,1747.97,0.51
1995,5,1995.375,1747.64,1.06,1748.37,0.5
1995,6,1995.458,1742.83,0.94,1748.72,0.49
1995,7,1995.542,1740.17,0.8,1749.02,0.48
1995,8,1995.625,1743.58,1.04,1749.28,0.47
1995,9,1995.708,1749.78,1.12,1749.49,0.46
1995,10,1995.792,1754.36,0.8,1749.68,0.47
1995,11,1995.875,1755.49,0.94,1749.84,0.48
1995,12,1995.958,1753.84,0.96,1750,0.51
1996,1,1996.042,1752.23,1.06,1750.15,0.54
1996,2,1996.125,1752.73,1.03,1750.3,0.58
1996,3,1996.208,1752.23,0.9,1750.47,0.62
1996,4,1996.292,1749.59,0.99,1750.65,0.65
1996,5,1996.375,1748.28,1.06,1750.84,0.69
1996,6,1996.458,1746.03,1.05,1751.05,0.71
1996,7,1996.542,1742.05,1.07,1751.27,0.73
1996,8,1996.625,1744.25,1.31,1751.5,0.73
1996,9,1996.708,1752.58,1.3,1751.74,0.73
1996,10,1996.792,1758.87,0.96,1751.97,0.71
1996,11,1996.875,1760.03,0.96,1752.2,0.68
1996,12,1996.958,1756.9,0.89,1752.44,0.65
1997,1,1997.042,1753.39,0.91,1752.68,0.61
1997,2,1997.125,1753.87,1.16,1752.92,0.57
1997,3,1997.208,1755.66,0.86,1753.18,0.53
1997,4,1997.292,1755.53,0.96,1753.48,0.48
1997,5,1997.375,1753.84,0.77,1753.82,0.44
1997,6,1997.458,1750.13,0.96,1754.22,0.41
1997,7,1997.542,1746.14,0.95,1754.69,0.39
1997,8,1997.625,1747.87,0.95,1755.25,0.39
1997,9,1997.708,1755.01,0.99,1755.9,0.39
1997,10,1997.792,1760.25,0.77,1756.64,0.41
1997,11,1997.875,1761.69,0.96,1757.48,0.43
1997,12,1997.958,1761.89,0.76,1758.42,0.45
1998,1,1998.042,1761.45,0.75,1759.45,0.48
1998,2,1998.125,1761.44,1.14,1760.5,0.5
1998,3,1998.208,1762.94,1.31,1761.61,0.52
1998,4,1998.292,1764.71,0.93,1762.78,0.55
1998,5,1998.375,1764.24,0.86,1763.96,0.57
1998,6,1998.458,1760.33,0.79,1765.13,0.59
1998,7,1998.542,1756.16,1.18,1766.26,0.62
1998,8,1998.625,1760.18,1.07,1767.34,0.64
1998,9,1998.708,1770.66,1.27,1768.33,0.66
1998,10,1998.792,1776.25,1.2,1769.23,0.68
1998,11,1998.875,1775.46,0.87,1770.02,0.7
1998,12,1998.958,1774.03,0.82,1770.72,0.71
1999,1,1999.042,1773.82,0.97,1771.31,0.71
1999,2,1999.125,1773.92,1.44,1771.78,0.71
1999,3,1999.208,1774.61,1.12,1772.16,0.71
1999,4,1999.292,1775.02,0.82,1772.47,0.71
1999,5,1999.375,1772.7,0.94,1772.72,0.7
1999,6,1999.458,1767.37,0.92,1772.91,0.69
1999,7,1999.542,1762.98,0.9,1773.05,0.69
1999,8,1999.625,1764.66,1.03,1773.16,0.69
1999,9,1999.708,1771.05,0.95,1773.25,0.7
1999,10,1999.792,1776.67,0.94,1773.31,0.71
1999,11,1999.875,1778.58,0.86,1773.36,0.73
1999,12,1999.958,1777.25,0.85,1773.4,0.75
2000,1,2000.042,1775.68,1.11,1773.42,0.77
2000,2,2000.125,1775.75,1.38,1773.42,0.79
2000,3,2000.208,1776.72,1.39,1773.41,0.8
2000,4,2000.292,1777.32,1.32,1773.36,0.81
2000,5,2000.375,1774.62,1.28,1773.29,0.81
2000,6,2000.458,1768.16,1.22,1773.19,0.81
2000,7,2000.542,1763.54,0.89,1773.06,0.8
2000,8,2000.625,1765.57,1.07,1772.9,0.78
2000,9,2000.708,1772.12,1.11,1772.71,0.77
2000,10,2000.792,1777.15,0.85,1772.51,0.74
2000,11,2000.875,1777.82,0.99,1772.29,0.72
2000,12,2000.958,1775.38,1.14,1772.07,0.7
2001,1,2001.042,1772.89,0.93,1771.86,0.68
2001,2,2001.125,1772.51,0.94,1771.66,0.67
2001,3,2001.208,1773.66,0.94,1771.48,0.65
2001,4,2001.292,1773.88,0.69,1771.32,0.64
2001,5,2001.375,1770.74,0.83,1771.2,0.63
2001,6,2001.458,1765.85,0.98,1771.1,0.61
2001,7,2001.542,1762.79,1.03,1771.04,0.6
2001,8,2001.625,1764.3,0.98,1771.01,0.59
2001,9,2001.708,1770.36,0.87,1771.02,0.57
2001,10,2001.792,1775.51,0.75,1771.05,0.56
2001,11,2001.875,1776.56,0.87,1771.11,0.54
2001,12,2001.958,1775.91,1.18,1771.19,0.52
2002,1,2002.042,1774.11,1.29,1771.29,0.51
2002,2,2002.125,1772.82,1.04,1771.41,0.51
2002,3,2002.208,1773.4,0.64,1771.55,0.51
2002,4,2002.292,1772.76,0.69,1771.71,0.52
2002,5,2002.375,1770.3,0.7,1771.89,0.53
2002,6,2002.458,1766.9,0.82,1772.1,0.55
2002,7,2002.542,1764.23,0.91,1772.35,0.57
2002,8,2002.625,1766.84,1.01,1772.64,0.59
2002,9,2002.708,1773.67,0.97,1772.97,0.61
2002,10,2002.792,1778.27,1.27,1773.34,0.61
2002,11,2002.875,1779.49,1.17,1773.76,0.61
2002,12,2002.958,1779.64,0.85,1774.23,0.6
2003,1,2003.042,1777.55,1.03,1774.74,0.58
2003,2,2003.125,1774.82,1.01,1775.27,0.56
2003,3,2003.208,1774.84,0.91,1775.82,0.54
2003,4,2003.292,1775.81,1.48,1776.39,0.52
2003,5,2003.375,1774.44,1.28,1776.96,0.5
2003,6,2003.458,1771.69,1.13,1777.51,0.49
2003,7,2003.542,1770.72,1.68,1778.02,0.48
2003,8,2003.625,1774.29,1.46,1778.47,0.48
2003,9,2003.708,1780.56,0.93,1778.84,0.48
2003,10,2003.792,1784.7,0.8,1779.11,0.49
2003,11,2003.875,1785.26,0.99,1779.28,0.49
2003,12,2003.958,1783.55,0.97,1779.33,0.5
2004,1,2004.042,1780.88,0.93,1779.26,0.5
2004,2,2004.125,1779.96,0.89,1779.08,0.5
2004,3,2004.208,1780.96,0.8,1778.81,0.5
2004,4,2004.292,1780.72,0.87,1778.43,0.5
2004,5,2004.375,1777.57,1.04,1777.97,0.5
2004,6,2004.458,1772.29,1.11,1777.47,0.51
2004,7,2004.542,1768.05,0.83,1776.93,0.52
2004,8,2004.625,1769.78,0.92,1776.39,0.53
2004,9,2004.708,1775.5,1.02,1775.86,0.54
2004,10,2004.792,1779.71,0.83,1775.38,0.55
2004,11,2004.875,1780.46,0.99,1774.96,0.56
2004,12,2004.958,1778.37,0.94,1774.62,0.56
2005,1,2005.042,1776.36,1.12,1774.35,0.57
2005,2,2005.125,1775.81,0.94,1774.18,0.58
2005,3,2005.208,1775.44,1.01,1774.08,0.59
2005,4,2005.292,1774.59,0.9,1774.06,0.61
2005,5,2005.375,1772.23,0.76,1774.1,0.62
2005,6,2005.458,1768.54,1.04,1774.18,0.64
2005,7,2005.542,1766.26,0.9,1774.3,0.65
2005,8,2005.625,1768.02,1.06,1774.43,0.66
2005,9,2005.708,1773.09,1.22,1774.55,0.67
2005,10,2005.792,1778.5,1.27,1774.66,0.66
2005,11,2005.875,1781.21,0.94,1774.74,0.65
2005,12,2005.958,1780.27,1.32,1774.78,0.64
2006,1,2006.042,1779.56,0.98,1774.79,0.62
2006,2,2006.125,1779.47,1.01,1774.78,0.6
2006,3,2006.208,1777.37,0.8,1774.75,0.58
2006,4,2006.292,1776.14,0.62,1774.72,0.57
2006,5,2006.375,1774.97,1.03,1774.71,0.55
2006,6,2006.458,1769.3,1.39,1774.73,0.55
2006,7,2006.542,1764.19,1.25,1774.81,0.55
2006,8,2006.625,1767.2,1.26,1774.96,0.55
2006,9,2006.708,1774.55,1.24,1775.19,0.56
2006,10,2006.792,1778.24,0.83,1775.5,0.56
2006,11,2006.875,1779.05,0.81,1775.91,0.57
2006,12,2006.958,1779.93,0.85,1776.41,0.57
2007,1,2007.042,1779.18,1.03,1777,0.58
2007,2,2007.125,1778.58,1.08,1777.62,0.58
2007,3,2007.208,1780.28,0.9,1778.29,0.59
2007,4,2007.292,1781.12,0.96,1779.01,0.6
2007,5,2007.375,1779.43,1.27,1779.75,0.61
2007,6,2007.458,1775.61,1.11,1780.48,0.62
2007,7,2007.542,1772.62,1.11,1781.2,0.64
2007,8,2007.625,1777.19,1.42,1781.9,0.65
2007,9,2007.708,1785.88,1.43,1782.55,0.66
2007,10,2007.792,1789.87,1.06,1783.16,0.68
2007,11,2007.875,1789.51,1.02,1783.74,0.69
2007,12,2007.958,1788.17,1.27,1784.28,0.71
2008,1,2008.042,1786.69,1.39,1784.81,0.72
2008,2,2008.125,1785.8,1.22,1785.3,0.73
2008,3,2008.208,1786.15,1.24,1785.78,0.74
2008,4,2008.292,1786.89,1.01,1786.29,0.74
2008,5,2008.375,1785.2,0.96,1786.8,0.74
2008,6,2008.458,1780.47,0.88,1787.34,0.73
2008,7,2008.542,1777.65,0.91,1787.88,0.72
2008,8,2008.625,1781.04,1.06,1788.46,0.7
2008,9,2008.708,1787.66,1.06,1789.04,0.68
2008,10,2008.792,1793.69,0.9,1789.62,0.66
2008,11,2008.875,1797.3,1.49,1790.2,0.64
2008,12,2008.958,1796.59,1.47,1790.77,0.62
2009,1,2009.042,1795.08,1.04,1791.33,0.61
2009,2,2009.125,1795.59,1.2,1791.84,0.6
2009,3,2009.208,1795.97,1.13,1792.31,0.61
2009,4,2009.292,1795.56,0.83,1792.77,0.62
2009,5,2009.375,1792.35,0.74,1793.19,0.64
2009,6,2009.458,1786.91,0.79,1793.58,0.66
2009,7,2009.542,1784.97,1.05,1793.94,0.68
2009,8,2009.625,1788.83,0.97,1794.28,0.69
2009,9,2009.708,1794.82,1.23,1794.61,0.7
2009,10,2009.792,1798.05,1.28,1794.93,0.71
2009,11,2009.875,1797.89,0.76,1795.25,0.71
2009,12,2009.958,1796.69,1.05,1795.59,0.71
2010,1,2010.042,1797.14,1.34,1795.95,0.7
2010,2,2010.125,1798.77,1.2,1796.3,0.69
2010,3,2010.208,1799.46,1.09,1796.68,0.68
2010,4,2010.292,1799.65,0.98,1797.1,0.68
2010,5,2010.375,1797.72,1.24,1797.53,0.68
2010,6,2010.458,1792.55,1.3,1797.97,0.68
2010,7,2010.542,1789.47,0.98,1798.43,0.68
2010,8,2010.625,1794.08,1.18,1798.9,0.68
2010,9,2010.708,1801.85,1.25,1799.37,0.69
2010,10,2010.792,1806.58,1.08,1799.83,0.68
2010,11,2010.875,1807.05,1.03,1800.29,0.68
2010,12,2010.958,1803.61,1.15,1800.74,0.68
2011,1,2011.042,1800.47,1.19,1801.18,0.67
2011,2,2011.125,1800.18,0.95,1801.6,0.66
2011,3,2011.208,1800.97,0.68,1802,0.65
2011,4,2011.292,1802.9,0.8,1802.41,0.65
2011,5,2011.375,1803.31,0.88,1802.82,0.65
2011,6,2011.458,1799.16,0.81,1803.22,0.65
2011,7,2011.542,1796.21,1.04,1803.62,0.65
2011,8,2011.625,1799.04,1,1804.03,0.66
2011,9,2011.708,1804.07,1.53,1804.43,0.67
2011,10,2011.792,1809.6,1.57,1804.84,0.67
2011,11,2011.875,1812.39,1.22,1805.25,0.67
2011,12,2011.958,1810.03,1.07,1805.67,0.67
2012,1,2012.042,1807.38,1.06,1806.11,0.67
2012,2,2012.125,1808.36,1.29,1806.53,0.67
2012,3,2012.208,1810.04,0.84,1806.96,0.67
2012,4,2012.292,1808.49,0.63,1807.41,0.67
2012,5,2012.375,1804.76,1.21,1807.85,0.67
2012,6,2012.458,1801.01,1.27,1808.29,0.67
2012,7,2012.542,1799.39,1.21,1808.72,0.67
2012,8,2012.625,1803.29,0.97,1809.15,0.67
2012,9,2012.708,1810.16,1.08,1809.56,0.66
2012,10,2012.792,1814.85,0.98,1809.96,0.66
2012,11,2012.875,1815.94,1.23,1810.33,0.65
2012,12,2012.958,1814.58,0.96,1810.69,0.64
2013,1,2013.042,1814.06,0.99,1811.03,0.64
2013,2,2013.125,1814.14,1.44,1811.35,0.63
2013,3,2013.208,1813.25,1.07,1811.67,0.63
2013,4,2013.292,1812.83,0.66,1811.99,0.63
2013,5,2013.375,1811.95,0.95,1812.34,0.64
2013,6,2013.458,1808.56,1.31,1812.7,0.64
2013,7,2013.542,1805.78,1.6,1813.11,0.63
2013,8,2013.625,1808.39,1.1,1813.57,0.63
2013,9,2013.708,1814.32,0.9,1814.09,0.63
2013,10,2013.792,1818.6,0.74,1814.68,0.62
2013,11,2013.875,1820.35,0.75,1815.35,0.61
2013,12,2013.958,1819.32,0.96,1816.1,0.6
2014,1,2014.042,1816.86,1.04,1816.95,0.6
2014,2,2014.125,1816.4,1.36,1817.84,0.59
2014,3,2014.208,1818.13,1.32,1818.79,0.58
2014,4,2014.292,1820.9,0.75,1819.83,0.58
2014,5,2014.375,1821.91,0.82,1820.93,0.58
2014,6,2014.458,1818.33,0.81,1822.06,0.57
2014,7,2014.542,1815.54,1.1,1823.2,0.57
2014,8,2014.625,1819.72,1.17,1824.37,0.56
2014,9,2014.708,1826.87,1.07,1825.51,0.56
2014,10,2014.792,1831.24,0.59,1826.63,0.55
2014,11,2014.875,1833.05,0.69,1827.72,0.54
2014,12,2014.958,1833.53,1.08,1828.77,0.54
2015,1,2015.042,1833.09,1.15,1829.79,0.53
2015,2,2015.125,1832.98,0.99,1830.73,0.52
2015,3,2015.208,1833.2,0.74,1831.62,0.52
2015,4,2015.292,1833.16,0.97,1832.52,0.52
2015,5,2015.375,1831.66,1.04,1833.38,0.52
2015,6,2015.458,1827.24,0.84,1834.21,0.53
2015,7,2015.542,1824.71,0.98,1835.03,0.54
2015,8,2015.625,1829.16,1.07,1835.84,0.55
2015,9,2015.708,1836.25,0.95,1836.63,0.57
2015,10,2015.792,1841.44,0.81,1837.4,0.59
2015,11,2015.875,1844.67,1.04,1838.17,0.61
2015,12,2015.958,1844.88,1.25,1838.91,0.63
2016,1,2016.042,1842.42,0.91,1839.67,0.66
2016,2,2016.125,1841.63,1.18,1840.36,0.68
2016,3,2016.208,1842.98,0.92,1841.02,0.69
2016,4,2016.292,1843.75,0.83,1841.7,0.7
2016,5,2016.375,1842.12,1.08,1842.33,0.71
2016,6,2016.458,1837.83,1.2,1842.94,0.71
2016,7,2016.542,1834.17,1.17,1843.52,0.71
2016,8,2016.625,1836.68,1.28,1844.08,0.7
2016,9,2016.708,1844.19,1.34,1844.6,0.68
2016,10,2016.792,1849.89,1.17,1845.11,0.66
2016,11,2016.875,1851.43,1.28,1845.6,0.64
2016,12,2016.958,1851.04,1.09,1846.08,0.62
2017,1,2017.042,1849.7,0.99,1846.56,0.6
2017,2,2017.125,1848.39,1.23,1847.03,0.59
2017,3,2017.208,1848.18,1.38,1847.51,0.58
2017,4,2017.292,1848.55,1.16,1848.01,0.58
2017,5,2017.375,1847.14,0.89,1848.54,0.59
2017,6,2017.458,1842.94,0.91,1849.08,0.61
2017,7,2017.542,1840.4,1.4,1849.65,0.62
2017,8,2017.625,1844.61,1.3,1850.25,0.64
2017,9,2017.708,1852.71,1,1850.86,0.66
2017,10,2017.792,1858,1.07,1851.5,0.68
2017,11,2017.875,1858.5,0.95,1852.17,0.7
2017,12,2017.958,1856.49,1.06,1852.85,0.71
2018,1,2018.042,1854.44,1.1,1853.57,0.73
2018,2,2018.125,1854.97,0.98,1854.26,0.74
2018,3,2018.208,1856.86,1.06,1854.97,0.75
2018,4,2018.292,1856.69,1.13,1855.71,0.77
2018,5,2018.375,1854.81,1.49,1856.45,0.78
2018,6,2018.458,1852.01,1.51,1857.2,0.79
2018,7,2018.542,1849.1,1.67,1857.95,0.8
2018,8,2018.625,1851.92,1.79,1858.7,0.81
2018,9,2018.708,1860.48,0.95,1859.44,0.81
2018,10,2018.792,1865.77,1,1860.17,0.81
2018,11,2018.875,1866.26,1.08,1860.89,0.8
2018,12,2018.958,1866.01,1.01,1861.6,0.79
